2026-04-25 22:52:52 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(55)
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:56 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:52:56 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=通勤提神 persona=温柔恋人 duration_level=速享
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 22:53:00 | INFO | smart_aroma.api.routes | REST POST /api/start scene=通勤提神 persona=温柔恋人 duration_level=速享 ok=True
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:00 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=通勤提神 persona=温柔恋人 duration_level=速享
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 22:53:00 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(65)
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:03 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
2026-04-25 22:53:03 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:00:28 | INFO | smart_aroma.main | WebSocket disconnected
2026-04-25 23:02:34 | INFO | smart_aroma.main | WebSocket connected; clients=1
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | User action: start scene=阅读专注 persona=温柔恋人 duration_level=标准
2026-04-25 23:02:55 | INFO | smart_aroma.api.routes | REST POST /api/start scene=阅读专注 persona=温柔恋人 duration_level=标准 ok=True
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | State phase: idle -> generating
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:02:55 | WARNING | smart_aroma.llm.qwen_client | MOCK_PLAN: no LLM API key; using built-in plan for scene=阅读专注 persona=温柔恋人 duration_level=标准
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | State phase: generating -> running
2026-04-25 23:02:55 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(30)
2026-04-25 23:03:04 | INFO | smart_aroma.engine.aroma_controller | State phase: running -> paused
2026-04-25 23:03:04 | INFO | smart_aroma.engine.aroma_controller | User action: pause
2026-04-25 23:03:04 | INFO | smart_aroma.api.routes | REST POST /api/pause ok=True
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | User action: stop
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:05 | INFO | smart_aroma.api.routes | REST POST /api/stop ok=True
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | FanBackend.set_fan_speed(0)
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | Sequence stopped
2026-04-25 23:03:05 | INFO | smart_aroma.engine.aroma_controller | State reset to idle after session end
